time,open,high,low,close,vwap,volume,count
2020-04-04 10:00:00,6838.82,6868.25,6838.82,6868.25,6868.25,0.05000000,1
2020-04-04 11:00:00,6868.25,6884.62,6707.92,6707.92,6793.25,1.25691963,15
2020-04-04 12:00:00,6695.96,6710.82,6695.96,6710.82,6704.24,0.02616350,3
2020-04-04 13:00:00,6710.82,6727.64,6710.82,6727.64,6727.64,0.02000000,2
2020-04-04 14:00:00,6727.64,6734.03,6727.64,6734.03,6734.01,0.15000000,3
2020-04-04 15:00:00,6734.03,6745.03,6734.03,6745.03,6745.03,0.02000000,1
2020-04-04 16:00:00,6760.61,6792.50,6760.61,6792.50,6767.83,0.64044000,6
2020-04-04 17:00:00,6792.50,6792.50,6772.44,6772.44,6790.64,0.39032189,4
2020-04-04 18:00:00,6785.44,6815.55,6785.44,6815.55,6792.73,0.15368198,13
2020-04-04 19:00:00,6815.55,6815.55,6815.55,6815.55,0.00,0.00000000,0
2020-04-04 20:00:00,6943.88,7013.66,6787.06,6883.33,6839.74,2.75632524,36
2020-04-04 21:00:00,6878.99,6878.99,6873.29,6873.30,6878.57,1.07800000,9
2020-04-04 22:00:00,6830.39,6830.39,6830.38,6830.38,6830.38,0.08030441,2
2020-04-04 23:00:00,6830.38,6860.00,6830.38,6860.00,6860.00,0.07291971,1
2020-04-05 00:00:00,6860.00,6860.00,6860.00,6860.00,0.00,0.00000000,0
2020-04-05 01:00:00,6860.00,6860.00,6860.00,6860.00,0.00,0.00000000,0
2020-04-05 02:00:00,6860.00,6860.00,6860.00,6860.00,0.00,0.00000000,0
2020-04-05 03:00:00,6860.00,6860.00,6860.00,6860.00,0.00,0.00000000,0
2020-04-05 04:00:00,6860.00,6860.00,6860.00,6860.00,0.00,0.00000000,0
2020-04-05 05:00:00,6860.00,6860.00,6831.19,6831.19,6831.19,1.00000000,1
2020-04-05 06:00:00,6831.19,6831.19,6756.37,6756.37,6756.37,0.23222810,1
2020-04-05 07:00:00,6756.37,6756.37,6756.37,6756.37,0.00,0.00000000,0
2020-04-05 08:00:00,6756.37,6756.37,6756.37,6756.37,0.00,0.00000000,0
2020-04-05 09:00:00,6756.37,6811.25,6756.37,6805.59,6805.89,0.69000000,2
2020-04-05 10:00:00,6805.59,6805.59,6805.59,6805.59,0.00,0.00000000,0
2020-04-05 11:00:00,6805.59,6805.59,6757.14,6795.98,6775.98,0.91056551,7
2020-04-05 12:00:00,6795.98,6795.98,6784.04,6784.04,6784.05,0.04519887,2
2020-04-05 13:00:00,6784.04,6784.04,6784.04,6784.04,0.00,0.00000000,0
2020-04-05 14:00:00,6784.04,6784.04,6784.04,6784.04,0.00,0.00000000,0
2020-04-05 15:00:00,6781.71,6781.71,6781.70,6781.70,6781.70,0.83581942,5
2020-04-05 16:00:00,6781.70,6781.70,6781.70,6781.70,0.00,0.00000000,0
2020-04-05 17:00:00,6748.30,6765.95,6716.80,6765.95,6745.74,2.34191884,22
2020-04-05 18:00:00,6765.95,6765.95,6765.95,6765.95,0.00,0.00000000,0
2020-04-05 19:00:00,6765.95,6798.33,6765.95,6792.90,6794.09,0.21734330,6
2020-04-05 20:00:00,6792.90,6792.90,6743.81,6743.81,6743.81,0.18590000,4
2020-04-05 21:00:00,6743.81,6773.40,6740.30,6773.40,6759.57,0.08882396,2
2020-04-05 22:00:00,6773.40,6816.40,6773.40,6782.28,6788.90,1.28051189,10
2020-04-05 23:00:00,6794.00,6794.00,6794.00,6794.00,6794.00,0.00363000,1
2020-04-06 00:00:00,6760.21,6760.21,6760.21,6760.21,6760.21,0.00609945,1
2020-04-06 01:00:00,6760.21,6863.84,6760.21,6849.89,6857.79,0.01319800,2
2020-04-06 02:00:00,6849.89,6849.89,6849.89,6849.89,0.00,0.00000000,0
2020-04-06 03:00:00,6833.57,6849.99,6833.57,6849.99,6836.49,0.08181144,5
2020-04-06 04:00:00,6849.99,6900.00,6849.99,6900.00,6900.00,0.07318114,3
2020-04-06 05:00:00,6900.00,6947.17,6900.00,6947.17,6947.17,0.04000000,1
2020-04-06 06:00:00,6947.17,6947.17,6947.17,6947.17,0.00,0.00000000,0
2020-04-06 07:00:00,6947.17,7065.90,6947.17,6996.91,7004.38,1.40473870,13
2020-04-06 08:00:00,6996.91,7047.04,6996.91,7042.90,7046.64,0.60000000,4
2020-04-06 09:00:00,7105.56,7118.15,7105.56,7118.15,7115.09,0.01320000,2
2020-04-06 10:00:00,7118.15,7133.78,7101.00,7101.00,7131.81,0.21553068,5
2020-04-06 11:00:00,7101.00,7112.10,7095.59,7095.59,7097.15,0.03892555,6
2020-04-06 12:00:00,7127.33,7176.67,7127.33,7176.67,7139.08,0.07107230,3
2020-04-06 13:00:00,7176.67,7176.67,7070.61,7101.81,7108.06,0.62157992,17
2020-04-06 14:00:00,7106.53,7113.99,7089.46,7113.99,7100.99,2.07470955,15
2020-04-06 15:00:00,7113.99,7150.00,7113.99,7141.50,7134.44,0.29586527,12
2020-04-06 16:00:00,7168.41,7168.41,7126.83,7158.00,7154.53,0.64968449,7
2020-04-06 17:00:00,7158.00,7223.10,7158.00,7223.10,7192.84,1.19719089,8
2020-04-06 18:00:00,7215.81,7250.00,7215.81,7250.00,7235.41,0.18350983,9
2020-04-06 19:00:00,7232.94,7303.70,7232.94,7291.64,7289.94,0.29091074,16
2020-04-06 20:00:00,7291.64,7291.64,7214.89,7242.00,7246.17,2.24903261,16
2020-04-06 21:00:00,7218.79,7293.80,7218.79,7293.80,7238.36,1.76611921,13
2020-04-06 22:00:00,7293.80,7293.80,7272.40,7272.40,7272.40,0.00695318,1
2020-04-06 23:00:00,7288.18,7358.50,7268.52,7339.23,7347.99,1.15379440,9
2020-04-07 00:00:00,7339.23,7400.00,7339.23,7395.00,7399.16,1.50386152,16
2020-04-07 01:00:00,7389.00,7400.01,7374.27,7400.01,7387.01,1.58645514,10
2020-04-07 02:00:00,7400.01,7400.01,7289.01,7303.00,7301.83,0.21289399,8
2020-04-07 03:00:00,7303.00,7316.70,7265.70,7316.70,7306.31,0.86201252,7
2020-04-07 04:00:00,7316.70,7316.70,7316.70,7316.70,0.00,0.00000000,0
